ID,LocalizationKey,SkillName,Level,DamageRate,BulletSpeed,ShootingRange,BulletCount,BulletDuration,CoolTime,FireDelay,AttackCount,BulletRange,RotSpeed,DamageDelay,IsUnique,SpawnPosition,Description,IconPath,PrefabPath
1,_heroActiveSkill_hogirlPunch,호걸 펀치,1,3,0,0,1,1,2,0,1,5,0,0,TRUE,Self,영웅으로부터 주먹이 나왔다들어가며 적을 공격,Prefabs/Icon/HogirlPunch,Prefabs/Bullet/HogirlPunch
1,_heroActiveSkill_hogirlPunch,호걸 펀치,2,1.5,0,0,2,1,2,0,1,5,0,0,TRUE,Self,영웅으로부터 주먹이 나왔다들어가며 적을 공격,Prefabs/Icon/HogirlPunch,Prefabs/Bullet/HogirlPunch
1,_heroActiveSkill_hogirlPunch,호걸 펀치,3,2,0,0,3,1,2,0,1,5,0,0,TRUE,Self,영웅으로부터 주먹이 나왔다들어가며 적을 공격,Prefabs/Icon/HogirlPunch,Prefabs/Bullet/HogirlPunch
1,_heroActiveSkill_hogirlPunch,호걸 펀치,4,2.5,0,0,4,1,2,0,1,5,0,0,TRUE,Self,영웅으로부터 주먹이 나왔다들어가며 적을 공격,Prefabs/Icon/HogirlPunch,Prefabs/Bullet/HogirlPunch
1,_heroActiveSkill_hogirlPunch,호걸 펀치,5,3,0,0,5,1,2,0,1,5,0,0,TRUE,Self,영웅으로부터 주먹이 나왔다들어가며 적을 공격,Prefabs/Icon/HogirlPunch,Prefabs/Bullet/HogirlPunch
2,_heroActiveSkill_dragonBall,용의 공,1,1,5,0,1,3,2,0,99,5,0,0,TRUE,Self,영웅으로부터 적을 관통하며 직선으로 날아가는 공을 발사,Prefabs/Icon/DragonBall,Prefabs/Bullet/DragonBall
2,_heroActiveSkill_dragonBall,용의 공,2,1.2,5,0,2,3,2,0,1,5,0,0,TRUE,Self,영웅으로부터 적을 관통하며 직선으로 날아가는 공을 발사,Prefabs/Icon/DragonBall,Prefabs/Bullet/DragonBall
2,_heroActiveSkill_dragonBall,용의 공,3,1.4,5,0,3,3,2,0,1,5,0,0,TRUE,Self,영웅으로부터 적을 관통하며 직선으로 날아가는 공을 발사,Prefabs/Icon/DragonBall,Prefabs/Bullet/DragonBall
2,_heroActiveSkill_dragonBall,용의 공,4,1.6,5,0,4,3,2,0,1,5,0,0,TRUE,Self,영웅으로부터 적을 관통하며 직선으로 날아가는 공을 발사,Prefabs/Icon/DragonBall,Prefabs/Bullet/DragonBall
2,_heroActiveSkill_dragonBall,용의 공,5,1.8,5,0,5,3,2,0,1,5,0,0,TRUE,Self,영웅으로부터 적을 관통하며 직선으로 날아가는 공을 발사,Prefabs/Icon/DragonBall,Prefabs/Bullet/DragonBall
3,_heroActiveSkill_spinBlade,회전 칼날,1,0.7,360,2,1,3,3,0,1,2,90,0,FALSE,Self,영웅을 중심으로 회전하며 적을 공격,Prefabs/Icon/SpinBlade,Prefabs/Bullet/SpinBlade
3,_heroActiveSkill_spinBlade,회전 칼날,2,0.9,360,2,2,3.25,2.75,0,1,2,90,0,FALSE,Self,영웅을 중심으로 회전하며 적을 공격,Prefabs/Icon/SpinBlade,Prefabs/Bullet/SpinBlade
3,_heroActiveSkill_spinBlade,회전 칼날,3,1.1,360,2,3,3.5,2.5,0,1,2,90,0,FALSE,Self,영웅을 중심으로 회전하며 적을 공격,Prefabs/Icon/SpinBlade,Prefabs/Bullet/SpinBlade
3,_heroActiveSkill_spinBlade,회전 칼날,4,1.3,360,2,4,3.75,2.25,0,1,2,90,0,FALSE,Self,영웅을 중심으로 회전하며 적을 공격,Prefabs/Icon/SpinBlade,Prefabs/Bullet/SpinBlade
3,_heroActiveSkill_spinBlade,회전 칼날,5,1.5,360,2,5,4,2,0,1,2,90,0,FALSE,Self,영웅을 중심으로 회전하며 적을 공격,Prefabs/Icon/SpinBlade,Prefabs/Bullet/SpinBlade
4,_heroActiveSkill_electricField,전기장,1,0.5,0,3,1,0,0,1,1,1,0,0,FALSE,Self,영웅을 중심으로 원을 생성하여 범위 안의 적을 공격,Prefabs/Icon/ElectricField,
4,_heroActiveSkill_electricField,전기장,2,0.6,0,3,1,0,0,0.95,1,1.1,0,0,FALSE,Self,영웅을 중심으로 원을 생성하여 범위 안의 적을 공격,Prefabs/Icon/ElectricField,
4,_heroActiveSkill_electricField,전기장,3,0.8,0,3,1,0,0,0.9,1,1.2,0,0,FALSE,Self,영웅을 중심으로 원을 생성하여 범위 안의 적을 공격,Prefabs/Icon/ElectricField,
4,_heroActiveSkill_electricField,전기장,4,1.1,0,3,1,0,0,0.85,1,1.3,0,0,FALSE,Self,영웅을 중심으로 원을 생성하여 범위 안의 적을 공격,Prefabs/Icon/ElectricField,
4,_heroActiveSkill_electricField,전기장,5,1.5,0,3,1,0,0,0.8,2,1.5,0,0,FALSE,Self,영웅을 중심으로 원을 생성하여 범위 안의 적을 공격,Prefabs/Icon/ElectricField,
5,_heroActiveSkill_gun,총총총,1,1,8,5,1,1,1,0.1,1,0,0,0,FALSE,Self,영웅을 중심으로 총알을 생성하여 가장 가까운 적을 공격,Prefabs/Icon/Gun,Prefabs/Bullet/Gun
5,_heroActiveSkill_gun,총총총,2,1.2,8,5,2,1,0.9,0.9,1,0,0,0,FALSE,Self,영웅을 중심으로 총알을 생성하여 가장 가까운 적을 공격,Prefabs/Icon/Gun,Prefabs/Bullet/Gun
5,_heroActiveSkill_gun,총총총,3,1.5,8,5,3,1,0.8,0.8,1,0,0,0,FALSE,Self,영웅을 중심으로 총알을 생성하여 가장 가까운 적을 공격,Prefabs/Icon/Gun,Prefabs/Bullet/Gun
5,_heroActiveSkill_gun,총총총,4,1.7,8,5,4,1,0.7,0.7,1,0,0,0,FALSE,Self,영웅을 중심으로 총알을 생성하여 가장 가까운 적을 공격,Prefabs/Icon/Gun,Prefabs/Bullet/Gun
5,_heroActiveSkill_gun,총총총,5,2,8,5,5,1,0.6,0.6,1,0,0,0,FALSE,Self,영웅을 중심으로 총알을 생성하여 가장 가까운 적을 공격,Prefabs/Icon/Gun,Prefabs/Bullet/Gun
