No,Lv,Name,Hp,MoveSpeed,Count,CoolTime
0,1,Enemy_1,100,1,5,3
1,2,Enemy_2,120,1.2,6,2.9
2,3,Enemy_3,140,1.4,7,2.8
3,4,Enemy_4,160,1.6,8,2.7
4,5,Enemy_5,180,1.8,9,2.6
5,6,Enemy_6,200,2,10,2.5
6,7,Enemy_7,220,2.2,11,2.4
7,8,Enemy_8,240,2.4,12,2.3
8,9,Enemy_9,260,2.6,13,2.2
9,10,Enemy_10,280,2.8,14,2.1
10,11,Enemy_11,300,3,15,2
11,12,Enemy_12,320,3.2,16,1.9
12,13,Enemy_13,340,3.4,17,1.8
13,14,Enemy_14,360,3.6,18,1.7
14,15,Enemy_15,380,3.8,19,1.6
15,16,Enemy_16,400,4,20,1.5
16,17,Enemy_17,420,4.2,21,1.4
17,18,Enemy_18,440,4.4,22,1.3
18,19,Enemy_19,460,4.6,23,1.2
19,20,Enemy_20,480,4.8,24,1.1
20,21,Enemy_21,500,5,25,1
21,22,Enemy_22,520,5.2,26,0.9
22,23,Enemy_23,540,5.4,27,0.8
23,24,Enemy_24,560,5.6,28,0.7
24,25,Enemy_25,580,5.8,29,0.6
25,26,Enemy_26,600,6,30,0.5
26,27,Enemy_27,620,6.2,31,0.4
27,28,Enemy_28,640,6.4,32,0.3
28,29,Enemy_29,660,6.6,33,0.2
